Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
SSM Health,MO,Healthcare Provider,29579,12/28/2017,Unauthorized Access/Disclosure,Electronic Medical Record
"Miracle-Ear, Inc. and Amplifon (USA), Inc.",MN,Business Associate,554,12/28/2017,Hacking/IT Incident,Email
"Longs Peak Family Practice, P.C.",CO,Healthcare Provider,16238,12/27/2017,Hacking/IT Incident,"Desktop Computer, Network Server"
Blue Cross Blue Shield of Massachusetts,MA,Health Plan,1843,12/26/2017,Unauthorized Access/Disclosure,Email
"Absolute Dental Hygiene, LLC",OR,Healthcare Provider,871,12/20/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server"
MidMichigan Medical Center-Alpena,MI,Healthcare Provider,1900,12/19/2017,Loss,Paper/Films
Emory Healthcare  ,GA,Healthcare Provider,24000,12/15/2017,Unauthorized Access/Disclosure,Email
Chilton Medical Center,NJ,Healthcare Provider,4600,12/15/2017,Theft,Other Portable Electronic Device
NYU School of Medicine - Pediatric Surgery Associates,NY,Healthcare Provider,2158,12/15/2017,Improper Disposal,Paper/Films
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,4389,12/14/2017,Hacking/IT Incident,Email
Midland County Hospital District d/b/a Midland Memorial Hospital  ,TX,Healthcare Provider,1160,12/12/2017,Hacking/IT Incident,Email
Pharmacy Innovations,NY,Healthcare Provider,1205,12/12/2017,Hacking/IT Incident,Network Server
"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)",IL,Healthcare Provider,22000,12/9/2017,Loss,Paper/Films
"Columbus Surgery Center, LLC ",NE,Healthcare Provider,7221,12/7/2017,Hacking/IT Incident,Network Server
"Eye Physicians, P.C.",NE,Healthcare Provider,2620,12/7/2017,Hacking/IT Incident,Network Server
Austin Manual Therapy Associates,TX,Healthcare Provider,1750,12/6/2017,Hacking/IT Incident,"Laptop, Network Server"
Bronson Healthcare Group,MI,Healthcare Provider,8256,12/5/2017,Hacking/IT Incident,Email
Golden Rule Insurance Company,IN,Health Plan,9305,12/4/2017,Unauthorized Access/Disclosure,Network Server
Sinai Health System ,IL,Healthcare Provider,11347,12/1/2017,Hacking/IT Incident,Email
Henry Ford Health System,MI,Healthcare Provider,43563,12/1/2017,Theft,Email
"CCRM Minneapolis, P.C.",MN,Healthcare Provider,3280,12/1/2017,Hacking/IT Incident,Network Server
Hackensack Sleep and Pulmonary Center,NJ,Healthcare Provider,16474,11/28/2017,Hacking/IT Incident,Network Server
Alere Toxicology,MA,Healthcare Provider,2146,11/28/2017,Unauthorized Access/Disclosure,Paper/Films
"Pulmonary Specialists of Louisville, PSC",KY,Healthcare Provider,32000,11/27/2017,Hacking/IT Incident,Electronic Medical Record
Metrocare Services,TX,Healthcare Provider,500,11/17/2017,Hacking/IT Incident,Email
"The Medical College of Wisconsin, Inc.",WI,Healthcare Provider,9500,11/17/2017,Hacking/IT Incident,Email
Washington State Department of Social and Health Services,WA,Healthcare Provider,515,11/16/2017,Unauthorized Access/Disclosure,Email
UPMC Susquehanna,PA,Healthcare Provider,1208,11/15/2017,Hacking/IT Incident,Email
"Sports Medicine & Rehabilitation Therapy, Inc.",MA,Healthcare Provider,7000,11/14/2017,Hacking/IT Incident,Network Server
"Otolaryngology Associates of Central New Jersey, P.C.",NJ,Healthcare Provider,1551,11/10/2017,Theft,Paper/Films
The Center For Health Care Services ,TX,Healthcare Provider,501,11/8/2017,Theft,Paper/Films
Aetna Inc.,CT,Health Plan,1600,11/8/2017,Unauthorized Access/Disclosure,Paper/Films
Indiana University Health,IN,Healthcare Provider,1399,11/3/2017,Improper Disposal,Paper/Films
"Shop-Rite Supermarkets, Incorporated",NY,Healthcare Provider,12172,11/3/2017,Improper Disposal,Other Portable Electronic Device
East Central Kansas Area Agency on Aging,KS,Business Associate,8750,10/31/2017,Hacking/IT Incident,Network Server
Texas Children's Health Plan,TX,Health Plan,932,10/27/2017,Unauthorized Access/Disclosure,Email
Florida Blue ,FL,Health Plan,939,10/27/2017,Unauthorized Access/Disclosure,Paper/Films
Catholic Charities of the Diocese of Albany,NY,Healthcare Provider,4624,10/27/2017,Hacking/IT Incident,Network Server
Cook County Health & Hospitals System,IL,Healthcare Provider,727,10/27/2017,Unauthorized Access/Disclosure,Network Server
"Arch City Dental, LLC - Drs. Baloy and Donatelli",OH,Healthcare Provider,1716,10/26/2017,Unauthorized Access/Disclosure,Email
"MGA Home Healthcare Colorado, Inc.",AZ,Healthcare Provider,2898,10/25/2017,Hacking/IT Incident,Email
TJ Samson Community Hospital,KY,Healthcare Provider,683,10/24/2017,Unauthorized Access/Disclosure,Electronic Medical Record
Iowa Department of Human Services,IA,Health Plan,820,10/20/2017,Hacking/IT Incident,Email
Martinsville Henry County Coalition for Health and Wellness,VA,Healthcare Provider,5806,10/13/2017,Theft,Laptop
Bridget P Early MD LLC d/b/a Namaste Health Care,MO,Healthcare Provider,1617,10/12/2017,Hacking/IT Incident,Network Server
John Hancock Life Insurance Company (U.S.A.),MA,Health Plan,1715,10/6/2017,Hacking/IT Incident,Network Server
Briggs & Stratton Corporation,WI,Health Plan,12789,9/29/2017,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server"
"Riaz Baber, M.D., S.C.",IL,Healthcare Provider,10500,9/28/2017,Unauthorized Access/Disclosure,Paper/Films
Advanced Spine & Pain Center,TX,Healthcare Provider,8352,9/27/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Mercy Health Love County Hospital and Clinic ,OK,Healthcare Provider,13004,9/20/2017,Theft,"Laptop, Paper/Films"
MN Urology,MN,Healthcare Provider,939,9/18/2017,Unauthorized Access/Disclosure,Email
"W. W. Grainger, Inc.",IL,Health Plan,1594,9/18/2017,Theft,Laptop
The MS Center of Saint Louis and Mercy Clinic Neurology - Town and Country ,MO,Healthcare Provider,1081,9/16/2017,Unauthorized Access/Disclosure,Other
"AU Medical Center, Inc.",GA,Healthcare Provider,6109,9/15/2017,Hacking/IT Incident,Email
Medical Mutual of Ohio,OH,Health Plan,6119,9/15/2017,Unauthorized Access/Disclosure,Email
"Indiana Health Centers, Inc.",IN,Healthcare Provider,1697,9/12/2017,Theft,"Desktop Computer, Laptop"
Children's Hospital Colorado,CO,Healthcare Provider,3370,9/8/2017,Hacking/IT Incident,Email
Network Health,WI,Health Plan,51232,9/8/2017,Hacking/IT Incident,Email
Ridgeview Medical Center,MN,Healthcare Provider,1074,9/8/2017,Unauthorized Access/Disclosure,Email
University of Wisconsin - Madison,WI,Healthcare Provider,1000,9/7/2017,Unauthorized Access/Disclosure,Paper/Films
Community Memorial Health System,CA,Healthcare Provider,959,9/5/2017,Hacking/IT Incident,Email
